UserName,Datetime,Tweet Id,Text
MisterT_333,2020-10-25 23:58:51+00:00,1320515196691963905,"Wouldn't be surprised if in 2nd term #realDonaldTrump wants:
#FBI Director- #DanBongino
#CIA Director-#DevinNunes
#SecofDefense- #MichaelFlynn
#Vote #Democrat #JoeBiden
@rewegreatyet https://t.co/xNkSF9ecMa"
DesiSilent,2020-10-25 23:58:49+00:00,1320515187829559296,I see hunter tapes thing going on...but question is would it impact #JoeBiden chances? Chances are impact I think very minimal - 1. Everyone knows how bad hunter guy is (Trump sons are no better). 2. People have largely decided to whom they would vote. Tapes wouldn’t change them.
Apike919,2020-10-25 23:57:51+00:00,1320514946904436736,"One year ago.   
#COVID19 #JoeBiden #BidenHarrisLandslide2020 

just so you know - that’s a NO
#Trump2020Landslide https://t.co/jT38yFUIZC"
hocsoc1,2020-10-25 23:57:20+00:00,1320514816113594369,"Putin Admires Biden's Dems: Their Values Are Closer to Those Communism Originally Came From Looks like we got a RUSSIA, RUSSIA, RUSSIA but it ain’t Trump, right #JoeBiden!😱 😱😱 via @WestJournalism https://t.co/yGQSl0tvla"
BigBlueWaveUSA,2020-10-25 23:56:25+00:00,1320514582083997696,"Exactly 1 year ago: #JoeBiden warns Tяump &amp; America- we are NOT prepared for a pandemic.
Tяump ignored it. Result (so far):
#TrumpDeathToll225k
It will get FAR worse if Tяump stays because #TrumpHasNoPlan.
Electing #JoeBiden is a life or death proposition. #VoteEarly https://t.co/QlSQ9AcR4w"
ot_ford,2020-10-25 23:56:20+00:00,1320514562668593152,"@washingtonpost Only one side is actually working against #democracy. The #GOP can complain that its values would be threatened under #JoeBiden, but democracy is not one of those values.
#election2020 #journalism #bothsides 
https://t.co/szrGQmpg4K"
TheGlobalHerald,2020-10-25 23:55:33+00:00,1320514366689738753,"McDaniel on Hunter Biden: If this was the Trump family, it'd be on the news 24/7 - https://t.co/lQHF0LMiCa - #COVID19 #DonaldTrump #Fox #FoxNews #JoeBiden #Republican"
ConservetiveOne,2020-10-25 23:55:28+00:00,1320514346338967554,"“Well, I’m not sure you should assume I’m not corrupt.” - #JoeBiden quote 

#JoeBidenCrimeFamily #BidenCrimeFamiily #BidenHarris2020 #BidenHarrisLandslide2020 #BidenHarris #Biden #Biden2020 #Biden2020ToSaveAmerica #TrumpLandslide2020 #Democrat #DemocratsAreDestroyingAmerica https://t.co/G4TJ2utsBN"
CPitenis,2020-10-25 23:54:58+00:00,1320514217284390912,Why should #DonaldTrump be replaced with someone who is as old as #JoeBiden? I mean are these two persons the best case scenario for the future of #USA?  #elections #Election2020 #ElectionDay
HedgeBanger,2020-10-25 23:53:44+00:00,1320513909858672641,"Joe Biden is the laziest presidential candidate in history.Or he’s confident that there R enough fraudulent mail-in votes to drag him over the finish line to victory

#JoeBiden #VoterFraud #CrookedJoeBiden #LazyJoeBiden #BidenCrimeFamily #HunterBiden #JimBiden #InfluencePeddling https://t.co/czEJmgj9wL"
together_wewin1,2020-10-25 23:53:09+00:00,1320513761094979584,"""Putin rejects Donald Trump's criticism of Biden family business""

So we can start saying Biden is definitely shady, right #NeverTrumpers?

#Trump2020Landslide #Russia #JoeBiden

https://t.co/UBqQKbVdXC"
